validation_role,filename,source_s3_uri,source_recording_id,source_clip_num,window_index,murphy_pool_label,eb_overall_label,eb_rain_present,eb_rain_intensity,eb_rain_confidence,eb_wind_present,eb_wind_intensity,eb_wind_confidence,eb_thunder_present,eb_thunder_intensity,eb_thunder_confidence
external_cross_check_not_training_data,050__rec_1313196__clip_006__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_006.webm,1313196,6,1,rain,rain,True,heavy,0.612644,False,none,0.222594,False,none,0.222507
external_cross_check_not_training_data,051__rec_1313196__clip_006__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_006.webm,1313196,6,2,rain,rain,True,heavy,0.620181,False,none,0.222759,False,none,0.225064
external_cross_check_not_training_data,052__rec_1401415__clip_001__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401415/site_257_item_1401415_clip_001.webm,1401415,1,0,rain,rain,True,heavy,0.624503,False,none,0.23049,False,none,0.227399
external_cross_check_not_training_data,053__rec_1401415__clip_001__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401415/site_257_item_1401415_clip_001.webm,1401415,1,1,rain,rain,True,heavy,0.617454,False,none,0.230093,False,none,0.22239
external_cross_check_not_training_data,054__rec_1401415__clip_001__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401415/site_257_item_1401415_clip_001.webm,1401415,1,2,rain,rain,True,heavy,0.620941,False,none,0.233581,False,none,0.231273
external_cross_check_not_training_data,055__rec_1401415__clip_002__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401415/site_257_item_1401415_clip_002.webm,1401415,2,0,rain,rain,True,heavy,0.614791,False,none,0.237282,False,none,0.225372
external_cross_check_not_training_data,056__rec_1401415__clip_002__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401415/site_257_item_1401415_clip_002.webm,1401415,2,1,rain,rain,True,heavy,0.622212,False,none,0.23668,False,none,0.228882
external_cross_check_not_training_data,057__rec_1401415__clip_002__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401415/site_257_item_1401415_clip_002.webm,1401415,2,2,rain,rain,True,heavy,0.618427,False,none,0.240478,False,none,0.228946
external_cross_check_not_training_data,058__rec_1401640__clip_001__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_001.webm,1401640,1,2,rain,rain,True,heavy,0.592431,False,none,0.238635,False,none,0.21997
external_cross_check_not_training_data,059__rec_1401640__clip_002__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_002.webm,1401640,2,2,rain,rain,True,heavy,0.608513,False,none,0.226634,False,none,0.221874
